City_code,City,Number
613,Albrandswaard,1.0
141,Almelo,1.0
34,Almere,1.0
484,Alphen aan den Rijn,1.0
1959,Altena,4.0
362,Amstelveen,1.0
363,Amsterdam,6.0
202,Arnhem,3.0
1954,Beekdaelen,2.0
748,Bergen op Zoom,1.0
1721,Bernheze,1.0
753,Best,2.0
209,Beuningen,5.0
375,Beverwijk,4.0
376,Blaricum,1.0
377,Bloemendaal,1.0
755,Boekel,1.0
147,Borne,3.0
758,Breda,16.0
1876,Bronckhorst,2.0
109,Coevorden,7.0
216,Culemborg,1.0
310,De Bilt,6.0
503,Delft,1.0
762,Deurne,1.0
1774,Dinkelland,2.0
766,Dongen,3.0
228,Ede,1.0
772,Eindhoven,6.0
114,Emmen,1.0
1652,Gemert-Bakel,1.0
785,Goirle,1.0
1942,Gooise Meren,2.0
392,Haarlem,2.0
523,Hardinxveld-Giessendam,4.0
397,Heemstede,1.0
163,Hellendoorn,2.0
794,Helmond,5.0
797,Heusden,1.0
1963,Hoeksche Waard,2.0
321,Houten,13.0
406,Huizen,1.0
353,IJsselstein,1.0
1931,Krimpenerwaard,1.0
1685,Landerd,1.0
1621,Lansingerland,2.0
1916,Leidschendam-Voorburg,1.0
1705,Lingewaard,2.0
809,Loon op Zand,7.0
263,Maasdriel,1.0
935,Maastricht,4.0
1948,Meierijstad,4.0
268,Nijmegen,2.0
579,Oegstgeest,1.0
824,Oisterwijk,3.0
828,Oss,1.0
1926,Pijnacker-Nootdorp,2.0
274,Renkum,5.0
597,Ridderkerk,1.0
957,Roermond,1.0
599,Rotterdam,14.0
1676,Schouwen-Duiveland,2.0
518,'s-Gravenhage,2.0
796,'s-Hertogenbosch,2.0
965,Simpelveld,2.0
845,Sint-Michielsgestel,5.0
1883,Sittard-Geleen,7.0
342,Soest,7.0
1904,Stichtse Vecht,5.0
855,Tilburg,12.0
856,Uden,7.0
344,Utrecht,13.0
1581,Utrechtse Heuvelrug,2.0
1961,Vijfheerenlanden,1.0
866,Waalre,1.0
867,Waalwijk,5.0
852,Waterland,1.0
1960,West Betuwe,2.0
668,West Maas en Waal,1.0
614,Westvoorne,1.0
296,Wijchen,1.0
352,Wijk bij Duurstede,1.0
632,Woerden,2.0
479,Zaanstad,2.0
297,Zaltbommel,1.0
50,Zeewolde,1.0
355,Zeist,1.0
879,Zundert,1.0
193,Zwolle,1.0
